-6°F Out... Now They Both Don't Have Heat	False
"#DEX to make 10x, INVEST $100 AND RECEIVE $1000 Biswap, PancakeSwap, Position and more..."	False
"#PIONEX ARBITRAGE BOTS I""VE TRIED FOR 365DAYS HERES THE RESULTS!!!"	True
"#PIONEX ARBITRAGE BOTS I""VE TRIED FOR 365DAYS HERES THE RESULTS!!!"	True
"$1,000,000 using the Ethereum trading bot! You can too!"	True
"$20,000 in ETH What We Buying? • Shill me 100X CRYPTO | Yon World Live"	False
"$3,200 on Ethereum Network on Flash Loan Arbitrage Attack | New Flash Contract Code on Description"	True
"3 Binance Smart Chain Tokens With 10X Gains | PancakeSwap, Venus Protocol, BakerySwap & Binance Coin"	False
":fire:""Huge Opportunity for Crypto.."" PULSECHAIN RICHARD HEART & DAVINCI JEREMIE Interview | CRYPTOPRNR"	False
":high voltage:IMPORTANT! PANCAKESWAP must face its biggest challenge, Uniswap. Passive income at APTOS"	False
":red circle:COME EFFETTUARE UNA COMPRA-VENDITA SU UNISWAP, ACQUISTO-VENDITA DI CRIPTO"	False
"A HUGE PUMP FOR SUSHI  IS ON THE WAY - SUSHISWAP PRICE PREDICTION 2023, 2024, 2025"	False
"ALTCOINs We ""Yearn"" For!? Two Coins Ready to MOON!!!"	False
"AMAZING!! ""NO CODE"" FREE FLASH LOAN ARBITRAGE BOT."	True
"AMAZING!! ""NO CODE"" FREE FLASH LOAN ARBITRAGE BOT."	True
"Amzdoge unlimited arbitrage, make 20usdt daily on amzdoge crypto arbitrage bot ? - Amzdoge review"	False
"Arbitrage bot on Polygon (MATIC) makes 218 ETH (or $828,000) in profits | bitcoin news | crypto news"	True
"B #HOW TO EARN $1,000,000  BY  2022 METHOD ON FLASHLOANS ARBITRAGE…"	True
"B #HOW TO EARN $1,000,000  BY  2022 METHOD ON FLASHLOANS ARBITRAGE…"	True
"Big update Feminist wallet,F token listed pancakeswap,daily =128 F token,best online income app 2023"	False
"Bitcoin 24,000 buy & How to Invest $1000 in Cryptocurrency in 2023 to Become A Millionaire"	False
"Bitcoin And Ethereum Price Consolidates As XRP, Uniswap, Quant and EGLD Show Massive Gains"	False
"Bitcoin Bottom: Miners Capitulation Begins, XRP & DOGE Uniswap!"	False
